year,month,temp,sd,nbr
1911,02,1.5,1.9258228751404498,84
1911,03,2.6,2.2294178343948685,93
1911,04,6.35,3.4755188046244805,90
1911,05,12.6,3.239606677653933,93
1911,06,15.149999999999999,2.6548476378174644,90
1911,07,17,2.5247281015804,93
1911,08,19.4,3.20404394721862,93
1911,09,15.4,2.3539806114539523,90
1911,10,10.2,2.629269385876295,93
1911,11,7.699999999999999,3.097225208958212,90
1911,12,4,1.3245823744007637,93
1912,01,-1.4,3.4722142247063887,93
1912,02,0.1,4.3351423238678475,87
1912,03,2.8,1.4860886785593614,93
1912,04,5.55,3.4598384207398998,90
1912,05,9.9,2.0670787114311797,93
1912,06,13.8,2.469207113687943,90
1912,07,19.5,2.600733974150581,93
1912,08,15.7,1.8882569367010231,93
1912,09,12.3,2.1379000746266508,90
1912,10,9,2.086164602553717,93
1912,11,4.9,1.8693883983191635,90
1912,12,5,1.3444846907584944,93
1913,01,1,2.811644706582649,93
1913,02,1.15,1.6136586218964202,84
1913,03,4,1.7784618638631307,93
1913,04,6.05,3.4717315708267473,90
1913,05,11.3,2.7191896807448166,93
1913,06,14.4,2.0325392935992577,90
1913,07,16.6,2.329015908171144,93
1913,08,15.8,2.087729349854087,93
1913,09,14.45,2.2878458103497885,90
1913,10,10.8,2.6349788622469212,93
1913,11,8.350000000000001,1.845230380211352,90
1913,12,4.5,3.189971942058009,93
1914,01,0.5,3.335793388619386,93
1914,02,3.45,1.3748598217806638,84
1914,03,3.3,1.4518193193846065,93
1914,04,7.5,2.7121820248335493,90
1914,05,10.5,2.686858744179427,93
1914,06,15.7,2.6631439747434302,90
1914,07,20,2.991496832011139,93
1914,08,18.3,1.617159764401716,93
1914,09,14.95,2.337214802646061,90
1914,10,9.8,1.7249861949024465,93
1914,11,5.2,2.924827854340848,90
1914,12,4.8,2.159465502756876,93
1915,01,1,2.627670395313092,93
1915,02,1.1,1.4767557400522928,84
1915,03,0,2.3742177176748114,93
1915,04,5.35,2.5405694506513736,90
1915,05,9.9,2.6646290134531183,93
1915,06,14.45,2.1662016210803268,90
1915,07,16,1.8298240883985004,93
1915,08,16.3,1.7044931409938806,93
1915,09,14,2.4884474650908053,90
1915,10,8,3.5598686487894384,93
1915,11,3.9,3.404850949383189,90
1915,12,2,3.1021950032585264,93
1916,01,3.5,2.118018603565391,93
1916,02,1,1.604124595448413,87
1916,03,1.2,1.9658699585125516,93
1916,04,5.15,2.686583859468666,90
1916,05,10,2.363756449706629,93
1916,06,12.25,2.1487333318343227,90
1916,07,16.8,2.4443990036435457,93
1916,08,16.1,1.4036276716017708,93
1916,09,13.1,2.7936042524132016,90
1916,10,9.4,3.5191445287340426,93
1916,11,6.9,3.457935020607179,90
1916,12,3.3,1.6101514393944476,93
1917,01,-1.1,2.772292449056359,93
1917,02,-0.8,3.0736146471908734,84
1917,03,-1,3.0309510601667196,93
1917,04,3.55,2.369764812890613,90
1917,05,9.5,3.305251392786707,93
1917,06,16.8,3.149761895762916,90
1917,07,18,1.8610560676050354,93
1917,08,18.8,2.2159173845322986,93
1917,09,14.55,1.5153517368558396,90
1917,10,9.2,2.554519137223363,93
1917,11,6.8,1.6987654326028188,90
1917,12,1.6,3.2103739192284553,93
1918,01,0.6,2.5577609715277894,93
1918,02,0.95,2.3349867103399418,84
1918,03,1.7,2.384499284890791,93
1918,04,6.8,3.4879560924517685,90
1918,05,11.4,3.708411587599036,93
1918,06,13.25,2.0145677318143007,90
1918,07,16.4,1.816229880024029,93
1918,08,17.2,1.8971731634606295,93
1918,09,13,1.6853499619906906,90
1918,10,10.5,1.7136780268231964,93
1918,11,5.35,2.8265684828541957,90
1918,12,3.4,1.906575565780646,93
1919,01,2,2.456472877833682,93
1919,02,0.45,3.0190756603304547,84
